epiweek,time_value,issue,geo_type,geo_value,flu_tests,flu_ah1n1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
201734,2017-08-26,2017-08-31,lab,nl,27,0,0,0,0,0,27,0,27.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,27.0,4.0,,
201734,2017-08-26,2017-08-31,lab,pe,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
201734,2017-08-26,2017-08-31,lab,ns,5,0,0,0,0,0,5,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
201734,2017-08-26,2017-08-31,lab,nb,31,0,0,0,0,0,31,0,23.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,23.0,1.0,23.0,0.0,23.0,0.0
201734,2017-08-26,2017-08-31,region,atlantic,64,0,0,0,0,0,64,0,53.0,0.0,1.0,1.0,0.0,0.0,53.0,1.0,53.0,1.0,53.0,4.0,26.0,0.0
201734,2017-08-26,2017-08-31,lab,région nord-est,16,0,0,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,québec-chaudière-appalaches,35,0,0,0,0,0,48,0,46.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,45.0,0.0,,,44.0,0.0
201734,2017-08-26,2017-08-31,lab,centre-du-québec,4,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,montréal-laval,333,0,0,1,1,0,339,0,302.0,11.0,0.0,3.0,6.0,0.0,310.0,7.0,297.0,1.0,,,263.0,2.0
201734,2017-08-26,2017-08-31,lab,ouest du québec,7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201734,2017-08-26,2017-08-31,lab,montérégie,10,0,0,0,0,0,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201734,2017-08-26,2017-08-31,region,qc,405,0,0,1,1,0,418,2,348.0,11.0,0.0,3.0,6.0,0.0,359.0,7.0,342.0,1.0,,,307.0,2.0
201734,2017-08-26,2017-08-31,lab,ottawa p.h.l.,14,0,0,0,0,0,14,0,14.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,9.0,0.0,9.0,0.0
201734,2017-08-26,2017-08-31,lab,cheo/hee0 - ottawa,54,0,0,1,1,0,54,2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,19.0,0.0,19.0,7.0,19.0,0.0
201734,2017-08-26,2017-08-31,lab,kingston p.h.l.,11,0,0,0,0,0,11,0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,9.0,3.0,9.0,0.0
201734,2017-08-26,2017-08-31,lab,uhn / mount sinai hospital,121,0,0,2,2,0,121,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,p.h.o.l. - toronto,162,0,1,0,1,0,160,1,160.0,4.0,0.0,1.0,1.0,0.0,160.0,2.0,155.0,0.0,57.0,5.0,51.0,0.0
201734,2017-08-26,2017-08-31,lab,sick kids'hospital - toronto,36,0,0,0,0,0,36,1,36.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,36.0,0.0,36.0,9.0,36.0,0.0
201734,2017-08-26,2017-08-31,lab,sunnybrook & women's college hsc,27,0,0,0,0,0,27,0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,1.0,27.0,7.0,27.0,0.0
201734,2017-08-26,2017-08-31,lab,sault ste. marie p.h.l.,1,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
201734,2017-08-26,2017-08-31,lab,timmins p.h.l.,6,0,0,0,0,0,6,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,1.0,2.0,0.0
201734,2017-08-26,2017-08-31,lab,st. joseph's - london,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,london p.h.l.,25,0,0,0,0,0,25,1,25.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,22.0,0.0,21.0,3.0,18.0,0.0
201734,2017-08-26,2017-08-31,lab,orillia p.h.l.,6,0,0,0,0,0,6,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,6.0,1.0,5.0,0.0
201734,2017-08-26,2017-08-31,lab,thunder bay p.h.l.,3,0,0,0,0,0,3,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,sudbury p.h.l.,6,0,0,0,0,0,6,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0
201734,2017-08-26,2017-08-31,lab,hamilton p.h.l.,23,0,0,0,0,0,23,0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,17.0,0.0,16.0,1.0,10.0,0.0
201734,2017-08-26,2017-08-31,lab,peterborough p.h.l.,18,0,0,0,0,0,18,0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,16.0,0.0,15.0,5.0,13.0,0.0
201734,2017-08-26,2017-08-31,region,on,513,0,1,3,4,0,511,5,352.0,5.0,1.0,1.0,1.0,0.0,355.0,4.0,353.0,2.0,223.0,42.0,204.0,0.0
201734,2017-08-26,2017-08-31,lab,mb,99,0,0,0,0,0,99,0,76.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,48.0,4.0,76.0,5.0,48.0,0.0
201734,2017-08-26,2017-08-31,lab,regina,107,0,0,0,0,0,107,0,107.0,2.0,2.0,1.0,2.0,0.0,107.0,1.0,107.0,1.0,107.0,36.0,107.0,0.0
201734,2017-08-26,2017-08-31,region,atlantic,47,0,0,1,1,0,47,0,47.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,0.0,47.0,2.0,47.0,0.0
201734,2017-08-26,2017-08-31,lab,sk,154,0,0,1,1,0,154,0,154.0,3.0,2.0,1.0,2.0,0.0,154.0,1.0,154.0,1.0,154.0,38.0,154.0,0.0
201734,2017-08-26,2017-08-31,lab,ab,205,0,5,1,6,0,186,0,186.0,0.0,0.0,0.0,4.0,0.0,186.0,5.0,186.0,4.0,186.0,46.0,186.0,1.0
201734,2017-08-26,2017-08-31,region,prairies,458,0,5,2,7,0,439,0,416.0,3.0,2.0,1.0,6.0,0.0,416.0,7.0,388.0,9.0,416.0,89.0,388.0,1.0
201734,2017-08-26,2017-08-31,region,bc,145,0,0,3,3,1,145,0,97.0,1.0,0.0,4.0,0.0,0.0,97.0,1.0,97.0,0.0,85.0,36.0,85.0,0.0
201734,2017-08-26,2017-08-31,lab,yk,1,0,0,1,1,0,1,0,,,,,,,,,,,,,,
201734,2017-08-26,2017-08-31,lab,nt,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201734,2017-08-26,2017-08-31,lab,nu,6,0,0,0,0,0,6,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
201734,2017-08-26,2017-08-31,region,territories,7,0,0,1,1,0,7,0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
201734,2017-08-26,2017-08-31,nation,ca,1592,0,6,10,16,1,1584,7,1272.0,20.0,4.0,10.0,13.0,0.0,1286.0,20.0,1239.0,13.0,778.0,171.0,1011.0,3.0
201733,2017-08-19,2017-08-24,lab,nl,20,0,0,0,0,0,20,0,20.0,0.0,0.0,1.0,0.0,0.0,20.0,1.0,20.0,0.0,20.0,2.0,,
201733,2017-08-19,2017-08-24,lab,pe,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201733,2017-08-19,2017-08-24,lab,ns,13,0,0,0,0,0,14,0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0
201733,2017-08-19,2017-08-24,lab,nb,20,0,0,0,0,0,16,0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,3.0,16.0,0.0
201733,2017-08-19,2017-08-24,region,atlantic,53,0,0,0,0,0,50,0,41.0,0.0,0.0,1.0,0.0,0.0,41.0,1.0,41.0,0.0,41.0,6.0,21.0,0.0
201733,2017-08-19,2017-08-24,lab,région nord-est,16,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,québec-chaudière-appalaches,63,0,0,0,0,0,66,0,67.0,0.0,0.0,0.0,0.0,0.0,69.0,2.0,64.0,0.0,,,63.0,0.0
201733,2017-08-19,2017-08-24,lab,centre-du-québec,5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,montréal-laval,330,0,0,6,6,0,346,3,318.0,5.0,0.0,5.0,2.0,0.0,326.0,15.0,276.0,2.0,,,276.0,1.0
201733,2017-08-19,2017-08-24,lab,ouest du québec,6,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201733,2017-08-19,2017-08-24,lab,montérégie,10,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201733,2017-08-19,2017-08-24,region,qc,430,0,0,6,6,0,444,4,385.0,5.0,0.0,5.0,2.0,0.0,395.0,17.0,340.0,2.0,,,339.0,1.0
201733,2017-08-19,2017-08-24,lab,ottawa p.h.l.,4,0,0,0,0,0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
