epiweek,time_value,issue,geo_type,geo_value,flu_tests,flu_ah1n1pdm09_positive_tests,flu_ah1_positive_tests,flu_ah3_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests
201534,2015-08-29,2015-09-03,lab,nl,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,,
201534,2015-08-29,2015-09-03,lab,pe,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
201534,2015-08-29,2015-09-03,lab,ns,11.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0
201534,2015-08-29,2015-09-03,lab,nb,22.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
201534,2015-08-29,2015-09-03,region,atlantic,47.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,24.0,0.0,22.0,2.0,12.0,0.0
201534,2015-08-29,2015-09-03,lab,région nord-est,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201534,2015-08-29,2015-09-03,lab,québec-chaudière-appalaches,34.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,38.0,0.0,,,38.0,0.0
201534,2015-08-29,2015-09-03,lab,centre-du-québec,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,0.0,0.0
201534,2015-08-29,2015-09-03,lab,montréal-laval,262.0,0.0,0.0,0.0,4.0,0.0,266.0,0.0,240.0,5.0,0.0,2.0,2.0,0.0,251.0,12.0,180.0,2.0,,,178.0,0.0
201534,2015-08-29,2015-09-03,lab,ouest du québec,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201534,2015-08-29,2015-09-03,lab,montérégie,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201534,2015-08-29,2015-09-03,region,qc,330.0,0.0,0.0,0.0,4.0,0.0,348.0,0.0,294.0,5.0,0.0,2.0,2.0,0.0,307.0,14.0,218.0,2.0,,,216.0,0.0
201534,2015-08-29,2015-09-03,lab,ottawa p.h.l.,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
201534,2015-08-29,2015-09-03,lab,cheo - ottawa,36.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0,0.0,1.0,36.0,2.0
201534,2015-08-29,2015-09-03,lab,kingston p.h.l.,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,7.0,2.0,7.0,0.0
