epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
201834,2018-08-25,2018-08-30,lab,nl,14,0,0,0,0,0,14,0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,14.0,0.0,14.0,3.0,,
201834,2018-08-25,2018-08-30,lab,pe,2,0,0,0,0,0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0
201834,2018-08-25,2018-08-30,lab,ns,12,0,0,0,0,0,12,0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0
201834,2018-08-25,2018-08-30,lab,nb,37,0,0,0,0,0,37,3,26.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,26.0,0.0,26.0,2.0,26.0,0.0
201834,2018-08-25,2018-08-30,region,atlantic,65,0,0,0,0,0,65,3,52.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,52.0,0.0,52.0,6.0,38.0,1.0
201834,2018-08-25,2018-08-30,lab,région nord-est,23,0,0,0,0,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201834,2018-08-25,2018-08-30,lab,québec-chaudière-appalaches,44,0,0,0,0,0,51,0,62.0,0.0,1.0,1.0,0.0,0.0,63.0,0.0,59.0,0.0,,,56.0,0.0
201834,2018-08-25,2018-08-30,lab,centre-du-québec,15,0,0,1,1,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201834,2018-08-25,2018-08-30,lab,montréal-laval,366,0,0,0,0,0,360,2,330.0,2.0,2.0,4.0,0.0,0.0,330.0,11.0,323.0,1.0,,,323.0,1.0
201834,2018-08-25,2018-08-30,lab,ouest du québec,21,0,0,0,0,0,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201834,2018-08-25,2018-08-30,lab,montérégie,20,0,0,0,0,0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
201834,2018-08-25,2018-08-30,region,qc,489,0,0,1,1,0,487,5,392.0,2.0,3.0,5.0,0.0,0.0,393.0,11.0,382.0,1.0,,,379.0,1.0
201834,2018-08-25,2018-08-30,lab,ottawa p.h.l.,8,0,0,0,0,0,5,0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,cheo - ottawa,74,0,0,2,2,0,74,1,19.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,19.0,0.0,19.0,4.0,19.0,0.0
201834,2018-08-25,2018-08-30,lab,kingston p.h.l.,4,0,0,0,0,0,4,0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,uhn / mount sinai hospital,152,2,0,0,2,0,152,4,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,,,,
201834,2018-08-25,2018-08-30,lab,p.h.o.l. - toronto,107,0,0,0,0,0,106,0,106.0,0.0,2.0,3.0,0.0,0.0,106.0,0.0,97.0,0.0,9.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,sick kids hospital - toronto,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,sunnybrook & women's college hsc,39,0,0,0,0,0,39,0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,39.0,3.0,39.0,0.0
201834,2018-08-25,2018-08-30,lab,sault ste. marie p.h.l.,3,0,0,0,0,0,3,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,timmins p.h.l.,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,st. joseph's - london,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,london p.h.l.,17,0,0,0,0,0,17,0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,orillia p.h.l.,4,0,0,0,0,0,4,0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,thunder bay p.h.l.,3,0,0,0,0,0,3,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,sudbury p.h.l.,8,0,0,1,1,0,8,0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,hamilton p.h.l.,13,0,0,0,0,0,13,0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,lab,peterborough p.h.l.,9,0,0,0,0,0,6,0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0
201834,2018-08-25,2018-08-30,region,on,441,2,0,3,5,0,434,5,243.0,1.0,2.0,7.0,0.0,0.0,227.0,0.0,226.0,0.0,92.0,10.0,74.0,0.0
201834,2018-08-25,2018-08-30,lab,mb,106,0,0,0,0,0,108,1,85.0,0.0,0.0,1.0,0.0,0.0,85.0,0.0,37.0,0.0,85.0,8.0,37.0,0.0
201834,2018-08-25,2018-08-30,lab,regina,69,0,0,0,0,0,69,0,69.0,0.0,0.0,0.0,1.0,0.0,69.0,0.0,69.0,0.0,69.0,22.0,69.0,1.0
201834,2018-08-25,2018-08-30,lab,saskatoon,37,0,0,0,0,0,37,0,37.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,37.0,0.0,37.0,14.0,37.0,0.0
201834,2018-08-25,2018-08-30,lab,province of saskatchewan,106,0,0,0,0,0,106,0,106.0,0.0,0.0,0.0,1.0,0.0,106.0,0.0,106.0,0.0,106.0,36.0,106.0,1.0
