epiweek,time_value,issue,geo_type,geo_value,flu_tests,fluah1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,fluah1n1pdm09_positive_tests
202134,2021-08-28,2021-09-02,lab,nl,552.0,0.0,0.0,0.0,0.0,0.0,552.0,2.0,552.0,0.0,0.0,0.0,0.0,4.0,552.0,1.0,552.0,0.0,162.0,19.0,,,
202134,2021-08-28,2021-09-02,lab,pe,45.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,0.0,2.0,0.0,0.0,45.0,1.0,45.0,0.0,45.0,18.0,45.0,0.0,
202134,2021-08-28,2021-09-02,lab,ns,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,42.0,0.0,0.0,2.0,0.0,0.0,42.0,1.0,42.0,0.0,42.0,2.0,42.0,0.0,
202134,2021-08-28,2021-09-02,lab,nb,118.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,95.0,0.0,95.0,2.0,95.0,0.0,
202134,2021-08-28,2021-09-02,region,atlantic,761.0,0.0,0.0,0.0,0.0,0.0,756.0,2.0,734.0,0.0,0.0,4.0,0.0,4.0,734.0,3.0,734.0,0.0,344.0,41.0,182.0,0.0,
202134,2021-08-28,2021-09-02,lab,région nord-est,464.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
202134,2021-08-28,2021-09-02,lab,québec-chaudière-appalaches,35.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,35.0,0.0,0.0,1.0,0.0,0.0,35.0,1.0,35.0,0.0,,,35.0,0.0,
202134,2021-08-28,2021-09-02,lab,centre-du-québec,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,,,5.0,0.0,
202134,2021-08-28,2021-09-02,lab,montréal-laval,539.0,0.0,0.0,2.0,2.0,0.0,539.0,170.0,132.0,0.0,0.0,5.0,0.0,0.0,132.0,4.0,132.0,2.0,,,132.0,1.0,
202134,2021-08-28,2021-09-02,lab,ouest du québec,22.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
202134,2021-08-28,2021-09-02,lab,montérégie,23.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
202134,2021-08-28,2021-09-02,region,qc,1086.0,0.0,0.0,2.0,2.0,0.0,672.0,189.0,172.0,0.0,0.0,6.0,0.0,0.0,172.0,6.0,172.0,2.0,,,172.0,1.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - ottawa,280.0,0.0,0.0,0.0,0.0,0.0,280.0,14.0,280.0,0.0,0.0,0.0,0.0,74.0,280.0,8.0,280.0,0.0,280.0,117.0,280.0,10.0,
202134,2021-08-28,2021-09-02,lab,cheo - ottawa,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,22.0,4.0,22.0,1.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - kingston,32.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,6.0,32.0,1.0,32.0,0.0,32.0,11.0,32.0,0.0,
202134,2021-08-28,2021-09-02,lab,uhn / mount sinai hospital,352.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - toronto,164.0,0.0,1.0,0.0,1.0,0.0,163.0,0.0,163.0,0.0,0.0,0.0,0.0,5.0,163.0,2.0,163.0,0.0,163.0,44.0,163.0,0.0,
202134,2021-08-28,2021-09-02,lab,sick kids hospital - toronto,,,,,,,,,,,,,,,,,,,,,,,
202134,2021-08-28,2021-09-02,lab,sunnybrook & women's college hsc,,,,,,,,,,,,,,,,,,,,,,,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - sault ste. marie,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,1.0,6.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - timmins,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,
202134,2021-08-28,2021-09-02,lab,st. joseph's - london,,,,,,,,,,,,,,,,,,,,,,,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - london,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,46.0,0.0,46.0,4.0,46.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - orillia,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,6.0,5.0,6.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - thunder bay,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,6.0,7.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - sudbury,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - hamilton,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,15.0,0.0,15.0,3.0,15.0,0.0,
202134,2021-08-28,2021-09-02,lab,p.h.o.l. - peterborough,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,13.0,2.0,13.0,0.0,
202134,2021-08-28,2021-09-02,lab,st. joseph's - hamilton,211.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,211.0,0.0,0.0,14.0,0.0,0.0,211.0,0.0,211.0,0.0,211.0,37.0,0.0,0.0,
202134,2021-08-28,2021-09-02,region,on,1198.0,0.0,1.0,0.0,1.0,0.0,1197.0,15.0,820.0,0.0,0.0,14.0,0.0,88.0,820.0,11.0,820.0,0.0,820.0,234.0,609.0,11.0,
202134,2021-08-28,2021-09-02,lab,province of manitoba,1169.0,0.0,0.0,0.0,0.0,0.0,1169.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,76.0,0.0,24.0,10.0,76.0,0.0,
202134,2021-08-28,2021-09-02,lab,province of saskatchewan,132.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,54.0,12.0,54.0,0.0,
202134,2021-08-28,2021-09-02,lab,province of alberta,1339.0,0.0,0.0,0.0,0.0,0.0,489.0,0.0,489.0,0.0,0.0,9.0,0.0,0.0,489.0,1.0,489.0,0.0,489.0,96.0,489.0,2.0,
202134,2021-08-28,2021-09-02,region,prairies,2640.0,0.0,0.0,0.0,0.0,0.0,1790.0,0.0,567.0,0.0,0.0,9.0,0.0,0.0,567.0,1.0,619.0,0.0,567.0,118.0,619.0,2.0,
202134,2021-08-28,2021-09-02,region,bc,806.0,0.0,0.0,0.0,0.0,0.0,803.0,3.0,280.0,0.0,0.0,2.0,0.0,0.0,280.0,1.0,280.0,0.0,271.0,60.0,270.0,0.0,
202134,2021-08-28,2021-09-02,lab,yk,175.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,,,,,,,,,,,,,,,
202134,2021-08-28,2021-09-02,lab,nt,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,
202134,2021-08-28,2021-09-02,lab,nu,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,4.0,1.0,0.0,
202134,2021-08-28,2021-09-02,region,territories,186.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,4.0,5.0,0.0,
202134,2021-08-28,2021-09-02,nation,ca,6677.0,0.0,1.0,2.0,3.0,0.0,5403.0,209.0,2583.0,0.0,0.0,35.0,0.0,92.0,2583.0,22.0,2635.0,2.0,2012.0,457.0,1857.0,14.0,
202133,2021-08-21,2021-08-26,lab,nl,441.0,0.0,0.0,0.0,0.0,0.0,441.0,2.0,441.0,0.0,0.0,1.0,0.0,3.0,441.0,0.0,441.0,0.0,166.0,13.0,,,
202133,2021-08-21,2021-08-26,lab,pe,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,2.0,0.0,0.0,42.0,0.0,42.0,0.0,42.0,23.0,42.0,0.0,
202133,2021-08-21,2021-08-26,lab,ns,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,42.0,0.0,0.0,2.0,0.0,0.0,42.0,0.0,42.0,0.0,42.0,4.0,42.0,0.0,
202133,2021-08-21,2021-08-26,lab,nb,42.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,42.0,0.0,42.0,0.0,42.0,2.0,42.0,0.0,
202133,2021-08-21,2021-08-26,region,atlantic,576.0,0.0,0.0,0.0,0.0,0.0,576.0,2.0,567.0,0.0,0.0,6.0,0.0,3.0,567.0,0.0,567.0,0.0,292.0,42.0,126.0,0.0,
202133,2021-08-21,2021-08-26,lab,région nord-est,426.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
202133,2021-08-21,2021-08-26,lab,québec-chaudière-appalaches,51.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,51.0,0.0,0.0,5.0,0.0,0.0,51.0,2.0,51.0,0.0,,,51.0,0.0,
202133,2021-08-21,2021-08-26,lab,centre-du-québec,9.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,18.0,0.0,0.0,4.0,0.0,0.0,18.0,0.0,18.0,0.0,,,18.0,0.0,
202133,2021-08-21,2021-08-26,lab,montréal-laval,488.0,0.0,0.0,0.0,0.0,0.0,483.0,136.0,131.0,5.0,0.0,7.0,0.0,0.0,131.0,5.0,131.0,3.0,,,131.0,3.0,
202133,2021-08-21,2021-08-26,lab,ouest du québec,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
202133,2021-08-21,2021-08-26,lab,montérégie,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
202133,2021-08-21,2021-08-26,region,qc,996.0,0.0,0.0,0.0,0.0,0.0,601.0,147.0,200.0,5.0,0.0,16.0,0.0,0.0,200.0,7.0,200.0,3.0,,,200.0,3.0,
202133,2021-08-21,2021-08-26,lab,p.h.o.l. - ottawa,54.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,54.0,0.0,0.0,0.0,0.0,15.0,54.0,4.0,54.0,0.0,54.0,21.0,54.0,2.0,
202133,2021-08-21,2021-08-26,lab,cheo - ottawa,82.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,22.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,22.0,0.0,22.0,5.0,22.0,0.0,
202133,2021-08-21,2021-08-26,lab,p.h.o.l. - kingston,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,9.0,28.0,0.0,28.0,0.0,28.0,11.0,28.0,0.0,
202133,2021-08-21,2021-08-26,lab,uhn / mount sinai hospital,349.0,0.0,0.0,0.0,0.0,0.0,349.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,
