epiweek,time_value,issue,geo_type,geo_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,evrv_positive_tests,hcov_positive_tests,rsv_positive_tests,flu_positive_tests
202135,2021-09-04,2022-09-01,nation,ca,158,31,6,557,21,286,3
202136,2021-09-11,2022-09-01,nation,ca,142,33,7,510,14,478,1
202137,2021-09-18,2022-09-01,nation,ca,207,28,6,916,11,628,3
202138,2021-09-25,2022-09-01,nation,ca,179,31,14,1180,17,649,0
202139,2021-10-02,2022-09-01,nation,ca,329,46,7,1147,17,771,1
202140,2021-10-09,2022-09-01,nation,ca,313,50,6,920,17,867,2
202141,2021-10-16,2022-09-01,nation,ca,374,49,7,743,48,932,6
202142,2021-10-23,2022-09-01,nation,ca,402,102,6,787,36,941,6
202143,2021-10-30,2022-09-01,nation,ca,391,48,15,729,35,1033,7
202144,2021-11-06,2022-09-01,nation,ca,405,56,30,777,67,1134,32
202145,2021-11-13,2022-09-01,nation,ca,447,73,29,932,89,1144,22
202146,2021-11-20,2022-09-01,nation,ca,366,111,44,869,104,1075,26
202147,2021-11-27,2022-09-01,nation,ca,337,91,48,795,152,1236,33
202148,2021-12-04,2022-09-01,nation,ca,275,91,72,736,187,1526,63
202149,2021-12-11,2022-09-01,nation,ca,219,139,69,758,252,1849,54
202150,2021-12-18,2022-09-01,nation,ca,189,163,64,684,277,2268,56
202151,2021-12-25,2022-09-01,nation,ca,165,139,66,508,254,2414,58
202152,2022-01-01,2022-09-01,nation,ca,109,99,52,374,331,1906,29
202201,2022-01-08,2022-09-01,nation,ca,93,95,37,280,312,1378,25
202202,2022-01-15,2022-09-01,nation,ca,62,54,18,178,251,926,28
202203,2022-01-22,2022-09-01,nation,ca,34,60,11,133,154,625,9
202204,2022-01-29,2022-09-01,nation,ca,28,53,10,109,126,355,8
202205,2022-02-05,2022-09-01,nation,ca,19,62,10,115,78,325,6
202206,2022-02-12,2022-09-01,nation,ca,18,51,15,128,70,275,6
202207,2022-02-19,2022-09-01,nation,ca,14,48,14,134,66,266,2
202208,2022-02-26,2022-09-01,nation,ca,22,56,16,179,72,241,9
202209,2022-03-05,2022-09-01,nation,ca,19,61,13,233,71,264,14
202210,2022-03-12,2022-09-01,nation,ca,21,62,16,240,83,305,17
202211,2022-03-19,2022-09-01,nation,ca,20,57,18,252,67,346,27
202212,2022-03-26,2022-09-01,nation,ca,34,56,26,289,104,367,93
202213,2022-04-02,2022-09-01,nation,ca,48,80,45,274,110,420,179
202214,2022-04-09,2022-09-01,nation,ca,43,64,54,310,116,446,314
202215,2022-04-16,2022-09-01,nation,ca,52,67,60,315,153,415,511
202216,2022-04-23,2022-09-01,nation,ca,84,72,86,293,155,414,1079
202217,2022-04-30,2022-09-01,nation,ca,92,74,131,357,186,459,1738
202218,2022-05-07,2022-09-01,nation,ca,123,82,159,396,184,390,2092
202219,2022-05-14,2022-09-01,nation,ca,115,69,165,345,145,370,2223
202220,2022-05-21,2022-09-01,nation,ca,141,76,218,374,144,367,1705
202221,2022-05-28,2022-09-01,nation,ca,157,93,272,447,105,313,1567
202222,2022-06-04,2022-09-01,nation,ca,147,73,244,396,108,322,1323
202223,2022-06-11,2022-09-01,nation,ca,160,84,199,413,87,254,996
202224,2022-06-18,2022-09-01,nation,ca,142,77,205,379,91,215,630
202225,2022-06-25,2022-09-01,nation,ca,167,62,225,435,110,190,383
202226,2022-07-02,2022-09-01,nation,ca,146,88,193,422,60,156,295
202227,2022-07-09,2022-09-01,nation,ca,163,83,224,407,56,156,155
202228,2022-07-16,2022-09-01,nation,ca,167,79,152,410,31,142,94
202229,2022-07-23,2022-09-01,nation,ca,131,77,114,351,19,139,72
202230,2022-07-30,2022-09-01,nation,ca,136,81,121,279,39,99,39
202231,2022-08-06,2022-09-01,nation,ca,128,74,89,268,17,106,30
202232,2022-08-13,2022-09-01,nation,ca,116,73,98,292,9,101,17
202233,2022-08-20,2022-09-01,nation,ca,91,71,86,312,9,114,17
202234,2022-08-27,2022-09-01,nation,ca,72,57,87,308,9,99,21
202135,2021-09-04,2022-08-25,nation,ca,158,31,6,557,21,286,3
202136,2021-09-11,2022-08-25,nation,ca,142,33,7,510,14,478,1
202137,2021-09-18,2022-08-25,nation,ca,207,28,6,916,11,628,3
202138,2021-09-25,2022-08-25,nation,ca,179,31,14,1180,17,649,0
202139,2021-10-02,2022-08-25,nation,ca,329,46,7,1147,17,771,1
202140,2021-10-09,2022-08-25,nation,ca,313,50,6,920,17,867,2
202141,2021-10-16,2022-08-25,nation,ca,374,49,7,743,48,932,6
202142,2021-10-23,2022-08-25,nation,ca,402,102,6,787,36,941,6
202143,2021-10-30,2022-08-25,nation,ca,391,48,15,729,35,1033,7
202144,2021-11-06,2022-08-25,nation,ca,405,56,30,777,67,1134,32
202145,2021-11-13,2022-08-25,nation,ca,447,73,29,932,89,1144,22
202146,2021-11-20,2022-08-25,nation,ca,366,111,44,869,104,1075,26
202147,2021-11-27,2022-08-25,nation,ca,337,91,48,795,152,1236,33
202148,2021-12-04,2022-08-25,nation,ca,275,91,72,736,187,1526,63
202149,2021-12-11,2022-08-25,nation,ca,219,139,69,758,252,1849,54
202150,2021-12-18,2022-08-25,nation,ca,189,163,64,684,277,2268,56
202151,2021-12-25,2022-08-25,nation,ca,165,139,66,508,254,2414,58
202152,2022-01-01,2022-08-25,nation,ca,109,99,52,374,331,1906,29
202201,2022-01-08,2022-08-25,nation,ca,93,95,37,280,312,1378,25
202202,2022-01-15,2022-08-25,nation,ca,62,54,18,178,251,926,28
202203,2022-01-22,2022-08-25,nation,ca,34,60,11,133,154,625,9
202204,2022-01-29,2022-08-25,nation,ca,28,53,10,109,126,355,8
202205,2022-02-05,2022-08-25,nation,ca,19,62,10,115,78,325,6
202206,2022-02-12,2022-08-25,nation,ca,18,51,15,128,70,275,6
202207,2022-02-19,2022-08-25,nation,ca,14,48,14,134,66,266,2
202208,2022-02-26,2022-08-25,nation,ca,22,56,16,179,72,241,9
202209,2022-03-05,2022-08-25,nation,ca,19,61,13,233,71,264,14
202210,2022-03-12,2022-08-25,nation,ca,21,62,16,240,83,305,17
202211,2022-03-19,2022-08-25,nation,ca,20,57,18,252,67,346,27
202212,2022-03-26,2022-08-25,nation,ca,34,56,26,289,104,367,93
202213,2022-04-02,2022-08-25,nation,ca,48,80,45,274,110,420,179
202214,2022-04-09,2022-08-25,nation,ca,43,64,54,310,116,446,314
202215,2022-04-16,2022-08-25,nation,ca,52,67,60,315,153,415,511
202216,2022-04-23,2022-08-25,nation,ca,84,72,86,293,155,414,1079
202217,2022-04-30,2022-08-25,nation,ca,92,74,131,357,186,459,1738
202218,2022-05-07,2022-08-25,nation,ca,123,82,159,396,184,390,2092
202219,2022-05-14,2022-08-25,nation,ca,115,69,165,345,145,370,2223
202220,2022-05-21,2022-08-25,nation,ca,141,76,218,374,144,367,1705
202221,2022-05-28,2022-08-25,nation,ca,157,93,272,447,105,313,1567
202222,2022-06-04,2022-08-25,nation,ca,147,73,244,396,108,322,1323
202223,2022-06-11,2022-08-25,nation,ca,160,84,199,413,87,254,996
202224,2022-06-18,2022-08-25,nation,ca,142,77,205,379,91,215,630
202225,2022-06-25,2022-08-25,nation,ca,167,62,225,435,110,190,383
202226,2022-07-02,2022-08-25,nation,ca,146,88,193,422,60,156,295
202227,2022-07-09,2022-08-25,nation,ca,163,83,224,407,56,156,155
202228,2022-07-16,2022-08-25,nation,ca,167,79,152,410,31,142,94
202229,2022-07-23,2022-08-25,nation,ca,131,77,114,351,19,139,72
202230,2022-07-30,2022-08-25,nation,ca,136,81,121,279,39,99,39
202231,2022-08-06,2022-08-25,nation,ca,128,74,89,268,17,106,30
202232,2022-08-13,2022-08-25,nation,ca,116,71,98,284,9,100,17
202233,2022-08-20,2022-08-25,nation,ca,76,51,72,208,9,95,12
202135,2021-09-04,2022-08-18,nation,ca,158,31,6,557,21,286,3
