epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests
202334,2023-08-26,2023-08-31,lab,nl,377.0,47.0,217.0,0.0,0.0,0.0,0.0,0.0,217.0,1.0,217.0,0.0,0.0,0.0,3.0,0.0,217.0,5.0,217.0,0.0,217.0,39.0,217.0,2.0
202334,2023-08-26,2023-08-31,lab,pe,116.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,5.0,0.0
202334,2023-08-26,2023-08-31,lab,ns,816.0,141.0,353.0,0.0,0.0,0.0,0.0,0.0,353.0,2.0,32.0,1.0,0.0,0.0,3.0,0.0,32.0,0.0,32.0,0.0,32.0,6.0,32.0,1.0
202334,2023-08-26,2023-08-31,lab,nb,516.0,53.0,324.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,42.0,2.0,42.0,0.0,42.0,6.0,42.0,1.0
202334,2023-08-26,2023-08-31,region,atlantic,1825.0,254.0,905.0,0.0,0.0,0.0,0.0,0.0,893.0,3.0,296.0,1.0,0.0,1.0,6.0,0.0,296.0,7.0,296.0,0.0,296.0,52.0,296.0,4.0
202334,2023-08-26,2023-08-31,lab,région nord est,1158.0,178.0,917.0,0.0,0.0,1.0,1.0,0.0,184.0,1.0,67.0,2.0,1.0,1.0,3.0,0.0,67.0,5.0,66.0,1.0,,,67.0,0.0
202334,2023-08-26,2023-08-31,lab,québec chaudière appalaches,1621.0,252.0,424.0,0.0,0.0,1.0,1.0,0.0,424.0,5.0,186.0,1.0,0.0,0.0,0.0,0.0,204.0,7.0,186.0,1.0,,,186.0,1.0
202334,2023-08-26,2023-08-31,lab,centre du québec,1250.0,206.0,200.0,0.0,0.0,0.0,0.0,0.0,200.0,6.0,36.0,1.0,0.0,0.0,1.0,0.0,36.0,2.0,36.0,0.0,,,36.0,0.0
202334,2023-08-26,2023-08-31,lab,montréal laval,2491.0,337.0,1046.0,0.0,0.0,5.0,5.0,2.0,988.0,12.0,581.0,0.0,2.0,3.0,6.0,0.0,581.0,8.0,581.0,8.0,,,581.0,0.0
202334,2023-08-26,2023-08-31,lab,ouest du québec,1050.0,170.0,254.0,0.0,0.0,4.0,4.0,1.0,254.0,1.0,20.0,1.0,1.0,1.0,2.0,0.0,20.0,1.0,20.0,1.0,,,20.0,1.0
202334,2023-08-26,2023-08-31,lab,montérégie,1010.0,140.0,536.0,0.0,0.0,1.0,1.0,0.0,535.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,,,8.0,0.0
202334,2023-08-26,2023-08-31,region,qc,8580.0,1283.0,3377.0,0.0,0.0,12.0,12.0,3.0,2585.0,30.0,898.0,5.0,4.0,5.0,12.0,0.0,916.0,23.0,897.0,11.0,,,898.0,2.0
202334,2023-08-26,2023-08-31,lab,phol ottawa,337.0,125.0,194.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,89.0,0.0,0.0,0.0,0.0,2.0,89.0,0.0,89.0,1.0,89.0,9.0,89.0,1.0
202334,2023-08-26,2023-08-31,lab,eorla,1263.0,104.0,271.0,0.0,0.0,2.0,2.0,0.0,271.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,7.0,25.0,0.0
