epiweek,time_value,issue,geo_type,geo_value,week,weekorder,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,year
202535,2025-08-30,2025-09-12,lab,nl,35,1,229.0,23.0,210.0,1.0,0.0,0.0,0.0,0.0,1.0,210.0,1.0,210.0,0.0,2.0,5.0,4.0,0.0,210.0,2.0,210.0,2.0,210.0,23.0,210.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,pe,35,1,33.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,ns,35,1,587.0,61.0,592.0,2.0,0.0,0.0,1.0,1.0,1.0,592.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,23.0,0.0,23.0,3.0,23.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,nb,35,1,472.0,18.0,330.0,1.0,0.0,0.0,1.0,1.0,0.0,321.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,70.0,3.0,70.0,9.0,70.0,0.0,2025
202535,2025-08-30,2025-09-12,region,atlantic,35,1,1321.0,107.0,1139.0,4.0,0.0,0.0,2.0,2.0,2.0,1130.0,1.0,306.0,0.0,2.0,5.0,4.0,0.0,306.0,5.0,306.0,5.0,306.0,36.0,306.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,région nord est,35,1,535.0,42.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,21.0,0.0,25.0,2.0,21.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,québec chaudière appalaches,35,1,975.0,61.0,740.0,2.0,0.0,0.0,0.0,0.0,2.0,740.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,211.0,7.0,200.0,0.0,227.0,36.0,200.0,1.0,2025
202535,2025-08-30,2025-09-12,lab,centre du québec,35,1,922.0,87.0,567.0,1.0,0.0,0.0,1.0,1.0,0.0,443.0,3.0,42.0,3.0,0.0,0.0,0.0,0.0,42.0,1.0,42.0,0.0,47.0,13.0,42.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,montréal laval,35,1,1655.0,140.0,1227.0,9.0,0.0,0.0,6.0,6.0,3.0,1035.0,3.0,547.0,4.0,1.0,5.0,1.0,0.0,547.0,7.0,547.0,1.0,585.0,57.0,547.0,0.0,2025
202535,2025-08-30,2025-09-12,lab,ouest du québec,35,1,678.0,58.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0,20.0,2.0,17.0,0.0,2025
