epiweek,time_value,issue,geo_type,geo_value,hpiv_positive_tests,adv_positive_tests,hmpv_positive_tests,ev_rv_positive_tests,hcov_positive_tests,rsv_positive_tests,flu_positive_tests
202235,2022-09-03,2022-11-24,nation,ca,96,79,63,436,15,130.0,25.0
202236,2022-09-10,2022-11-24,nation,ca,111,75,63,448,11,128.0,23.0
202237,2022-09-17,2022-11-24,nation,ca,120,83,54,715,9,128.0,34.0
202238,2022-09-24,2022-11-24,nation,ca,109,71,73,885,12,186.0,72.0
202239,2022-10-01,2022-11-24,nation,ca,151,107,70,932,24,286.0,106.0
202240,2022-10-08,2022-11-24,nation,ca,185,89,71,848,38,325.0,147.0
202241,2022-10-15,2022-11-24,nation,ca,211,121,98,849,48,504.0,234.0
202242,2022-10-22,2022-11-24,nation,ca,303,117,111,806,70,717.0,431.0
202243,2022-10-29,2022-11-24,nation,ca,369,150,142,820,132,1.071,1.02
202244,2022-11-05,2022-11-24,nation,ca,383,187,166,846,197,1.444,2.311
202245,2022-11-12,2022-11-24,nation,ca,414,211,219,740,273,1.727,4.156
202246,2022-11-19,2022-11-24,nation,ca,443,211,203,697,343,1.944,5.891
202235,2022-09-03,2022-11-17,nation,ca,96,79,63,436,15,130.0,25.0
202236,2022-09-10,2022-11-17,nation,ca,111,75,63,448,11,128.0,23.0
202237,2022-09-17,2022-11-17,nation,ca,120,83,54,715,9,128.0,34.0
202238,2022-09-24,2022-11-17,nation,ca,109,71,73,885,12,186.0,72.0
202239,2022-10-01,2022-11-17,nation,ca,151,107,70,932,24,286.0,106.0
202240,2022-10-08,2022-11-17,nation,ca,185,89,71,848,38,325.0,147.0
202241,2022-10-15,2022-11-17,nation,ca,211,121,98,849,48,504.0,234.0
202242,2022-10-22,2022-11-17,nation,ca,303,117,111,806,70,717.0,431.0
202243,2022-10-29,2022-11-17,nation,ca,369,150,142,820,132,1.071,1.02
202244,2022-11-05,2022-11-17,nation,ca,372,184,159,819,195,1.438,2.224
202245,2022-11-12,2022-11-17,nation,ca,392,201,191,692,257,1.661,3.909
202235,2022-09-03,2022-11-10,nation,ca,96,77,63,436,15,130.0,25.0
202236,2022-09-10,2022-11-10,nation,ca,111,71,63,448,11,128.0,23.0
202237,2022-09-17,2022-11-10,nation,ca,120,77,54,715,9,128.0,34.0
202238,2022-09-24,2022-11-10,nation,ca,109,63,73,885,12,186.0,72.0
202239,2022-10-01,2022-11-10,nation,ca,151,100,70,932,24,286.0,106.0
202240,2022-10-08,2022-11-10,nation,ca,185,83,71,847,38,325.0,147.0
202241,2022-10-15,2022-11-10,nation,ca,211,111,98,849,48,504.0,243.0
202242,2022-10-22,2022-11-10,nation,ca,303,117,111,806,70,717.0,463.0
202243,2022-10-29,2022-11-10,nation,ca,369,150,142,820,132,1.071,1.133
202244,2022-11-05,2022-11-10,nation,ca,328,167,149,708,181,1.309,2.234
202235,2022-09-03,2022-11-03,nation,ca,96,77,63,436,15,130.0,25.0
202236,2022-09-10,2022-11-03,nation,ca,111,71,63,448,11,128.0,23.0
202237,2022-09-17,2022-11-03,nation,ca,120,77,54,715,9,128.0,34.0
202238,2022-09-24,2022-11-03,nation,ca,109,63,73,885,12,186.0,72.0
202239,2022-10-01,2022-11-03,nation,ca,151,100,70,932,24,286.0,106.0
202240,2022-10-08,2022-11-03,nation,ca,185,83,71,847,38,325.0,147.0
202241,2022-10-15,2022-11-03,nation,ca,211,111,98,849,48,504.0,243.0
202242,2022-10-22,2022-11-03,nation,ca,303,110,111,806,70,717.0,460.0
202243,2022-10-29,2022-11-03,nation,ca,322,142,139,754,128,1.045,1.083
202235,2022-09-03,2022-10-28,nation,ca,96,77,63,436,15,130.0,25.0
202236,2022-09-10,2022-10-28,nation,ca,111,71,63,448,11,128.0,23.0
202237,2022-09-17,2022-10-28,nation,ca,120,77,54,715,9,128.0,34.0
202238,2022-09-24,2022-10-28,nation,ca,109,63,73,885,12,186.0,72.0
202239,2022-10-01,2022-10-28,nation,ca,151,100,70,932,24,286.0,106.0
202240,2022-10-08,2022-10-28,nation,ca,185,83,71,847,38,325.0,147.0
202241,2022-10-15,2022-10-28,nation,ca,211,111,98,849,48,503.0,243.0
202242,2022-10-22,2022-10-28,nation,ca,296,110,110,790,69,705.0,429.0
202235,2022-09-03,2022-10-20,nation,ca,88,81,67,436,15,130.0,26.0
202236,2022-09-10,2022-10-20,nation,ca,99,66,65,448,11,141.0,24.0
202237,2022-09-17,2022-10-20,nation,ca,109,72,57,715,8,123.0,34.0
202238,2022-09-24,2022-10-20,nation,ca,105,54,61,885,11,180.0,72.0
202239,2022-10-01,2022-10-20,nation,ca,132,89,62,932,22,294.0,102.0
202240,2022-10-08,2022-10-20,nation,ca,156,73,79,796,37,339.0,149.0
202241,2022-10-15,2022-10-20,nation,ca,186,104,93,808,37,486.0,246.0
202235,2022-09-03,2022-10-13,nation,ca,88,81,67,436,15,130.0,26.0
202236,2022-09-10,2022-10-13,nation,ca,99,66,65,448,11,141.0,24.0
202237,2022-09-17,2022-10-13,nation,ca,109,72,57,715,8,123.0,34.0
202238,2022-09-24,2022-10-13,nation,ca,105,54,61,885,11,180.0,72.0
202239,2022-10-01,2022-10-13,nation,ca,132,89,62,932,22,294.0,102.0
202240,2022-10-08,2022-10-13,nation,ca,156,73,79,796,37,339.0,149.0
202235,2022-09-03,2022-10-06,nation,ca,88,81,67,436,15,130.0,26.0
202236,2022-09-10,2022-10-06,nation,ca,99,66,65,448,11,141.0,24.0
202237,2022-09-17,2022-10-06,nation,ca,109,72,57,715,8,123.0,34.0
202238,2022-09-24,2022-10-06,nation,ca,105,54,61,885,11,180.0,70.0
202239,2022-10-01,2022-10-06,nation,ca,131,87,62,894,19,292.0,100.0
202235,2022-09-03,2022-09-29,nation,ca,88,81,67,436,15,130.0,26.0
202236,2022-09-10,2022-09-29,nation,ca,99,66,65,448,11,141.0,24.0
202237,2022-09-17,2022-09-29,nation,ca,109,72,57,715,8,123.0,34.0
202238,2022-09-24,2022-09-29,nation,ca,99,51,53,796,10,178.0,68.0
202235,2022-09-03,2022-09-22,nation,ca,88,81,67,436,15,130.0,26.0
202236,2022-09-10,2022-09-22,nation,ca,99,66,65,448,11,141.0,24.0
202237,2022-09-17,2022-09-22,nation,ca,96,61,56,671,8,121.0,32.0
202235,2022-09-03,2022-09-15,nation,ca,88,81,67,436,15,130.0,26.0
202236,2022-09-10,2022-09-15,nation,ca,92,64,64,429,11,136.0,23.0
202235,2022-09-03,2022-09-08,nation,ca,79,60,44,433,11,65.0,20.0
