epiweek,time_value,issue,geo_type,geo_value,sars-cov-2_tests,sars-cov-2_positive_tests,flu_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flu_a_positive_tests,flu_b_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv_1_positive_tests,hpiv_2_positive_tests,hpiv_3_positive_tests,hpiv_4_positive_tests,hpiv_other_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,flu_positive_tests
202423,2024-06-08,2024-06-14,lab,nl,669.0,95.0,581.0,0.0,0.0,2.0,2.0,2.0,581.0,3.0,581.0,1.0,1.0,30.0,1.0,0.0,581.0,2.0,581.0,9.0,581.0,85.0,581.0,9.0,
202423,2024-06-08,2024-06-14,lab,pe,104.0,14.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,3.0,9.0,0.0,
202423,2024-06-08,2024-06-14,lab,ns,1030.0,118.0,958.0,0.0,0.0,7.0,7.0,4.0,810.0,1.0,37.0,0.0,0.0,8.0,0.0,0.0,37.0,0.0,37.0,0.0,37.0,2.0,37.0,0.0,
202423,2024-06-08,2024-06-14,lab,nb,762.0,39.0,589.0,0.0,0.0,0.0,0.0,5.0,589.0,1.0,102.0,0.0,1.0,19.0,1.0,0.0,102.0,6.0,102.0,3.0,102.0,23.0,102.0,0.0,
202423,2024-06-08,2024-06-14,region,atlantic,2565.0,266.0,2175.0,0.0,0.0,9.0,9.0,11.0,2027.0,5.0,729.0,1.0,2.0,58.0,2.0,0.0,729.0,8.0,729.0,12.0,729.0,113.0,729.0,9.0,
202423,2024-06-08,2024-06-14,lab,région nord-est,868.0,77.0,871.0,0.0,0.0,2.0,2.0,8.0,514.0,4.0,123.0,0.0,0.0,14.0,0.0,0.0,123.0,10.0,119.0,3.0,,,123.0,1.0,
202423,2024-06-08,2024-06-14,lab,québec-chaudière-appalaches,1163.0,134.0,1061.0,0.0,0.0,3.0,3.0,4.0,1034.0,7.0,434.0,0.0,0.0,9.0,1.0,0.0,438.0,13.0,434.0,17.0,,,326.0,7.0,
202423,2024-06-08,2024-06-14,lab,centre-du-québec,1360.0,122.0,1210.0,0.0,0.0,4.0,4.0,3.0,592.0,11.0,43.0,0.0,0.0,3.0,0.0,0.0,43.0,1.0,43.0,1.0,,,43.0,2.0,
202423,2024-06-08,2024-06-14,lab,montréal-laval,1114.0,88.0,1079.0,0.0,0.0,9.0,9.0,7.0,909.0,6.0,744.0,0.0,5.0,37.0,0.0,0.0,744.0,14.0,744.0,26.0,,,744.0,8.0,
202423,2024-06-08,2024-06-14,lab,ouest du québec,763.0,52.0,475.0,0.0,0.0,0.0,0.0,2.0,475.0,4.0,18.0,0.0,0.0,1.0,0.0,0.0,18.0,1.0,18.0,1.0,,,18.0,1.0,
202423,2024-06-08,2024-06-14,lab,montérégie,657.0,41.0,900.0,0.0,0.0,3.0,3.0,5.0,900.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,0.0,,,7.0,0.0,
202423,2024-06-08,2024-06-14,region,qc,5925.0,514.0,5596.0,0.0,0.0,21.0,21.0,29.0,4424.0,41.0,1369.0,0.0,5.0,65.0,1.0,0.0,1373.0,39.0,1365.0,48.0,,,1261.0,19.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - ottawa,97.0,16.0,98.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,79.0,0.0,0.0,0.0,0.0,10.0,79.0,0.0,79.0,4.0,79.0,6.0,79.0,0.0,
202423,2024-06-08,2024-06-14,lab,eorla,746.0,42.0,365.0,0.0,0.0,2.0,2.0,0.0,365.0,3.0,39.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,39.0,2.0,39.0,7.0,39.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - kingston,129.0,27.0,101.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,69.0,0.0,0.0,0.0,0.0,5.0,69.0,0.0,69.0,4.0,69.0,12.0,69.0,1.0,
202423,2024-06-08,2024-06-14,lab,uhn / mount sinai hospital,894.0,34.0,587.0,1.0,0.0,1.0,2.0,1.0,587.0,2.0,89.0,0.0,0.0,3.0,1.0,0.0,89.0,0.0,89.0,1.0,89.0,5.0,89.0,5.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - toronto,252.0,52.0,606.0,1.0,2.0,0.0,1.0,0.0,603.0,0.0,586.0,0.0,0.0,0.0,0.0,61.0,586.0,6.0,586.0,23.0,586.0,72.0,586.0,15.0,
202423,2024-06-08,2024-06-14,lab,sick kids hospital - toronto,,,,,,,,,,,,,,,,,,,,,,,,,
202423,2024-06-08,2024-06-14,region,atlantic,1102.0,59.0,859.0,3.0,0.0,1.0,4.0,3.0,861.0,0.0,857.0,0.0,0.0,0.0,0.0,5.0,857.0,6.0,856.0,9.0,856.0,50.0,855.0,5.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - sault ste. marie,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - timmins,26.0,4.0,25.0,0.0,0.0,1.0,1.0,0.0,25.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,21.0,3.0,21.0,2.0,21.0,0.0,
202423,2024-06-08,2024-06-14,lab,st. joseph's - london,338.0,20.0,124.0,0.0,0.0,0.0,0.0,0.0,124.0,1.0,59.0,0.0,0.0,0.0,0.0,4.0,59.0,1.0,59.0,2.0,59.0,14.0,59.0,1.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - london,227.0,43.0,204.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,186.0,0.0,0.0,0.0,0.0,22.0,186.0,3.0,186.0,5.0,186.0,31.0,186.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - orillia,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - thunder bay,25.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,21.0,0.0,21.0,2.0,21.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - sudbury,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - hamilton,26.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,24.0,2.0,24.0,0.0,
202423,2024-06-08,2024-06-14,lab,p.h.o.l. - peterborough,55.0,1.0,94.0,0.0,0.0,1.0,1.0,0.0,92.0,1.0,59.0,0.0,0.0,0.0,0.0,2.0,59.0,4.0,59.0,1.0,59.0,9.0,59.0,0.0,
